0.037	-0.12	-0.0063	0.00027	0.31	-0.0024	-0.087	0.27	0.006	0.59	0.013	-0.00011
0.036	-0.093	-0.0064	0.0074	0.24	0.00064	-0.083	0.26	0.0053	0.6	0.014	-0.00011
0.036	-0.075	-0.0062	0.063	0.063	0.0032	-0.079	0.25	0.0047	0.6	0.016	-0.00011
0.042	-0.073	-0.0058	-0.032	-0.067	0.0049	-0.076	0.25	0.0041	0.61	0.017	-0.0001
0.038	-0.084	-0.0052	-0.15	-0.19	0.0055	-0.072	0.24	0.0036	0.62	0.018	-9e-05
0.024	-0.11	-0.0047	-0.13	-0.25	0.0049	-0.068	0.23	0.0031	0.62	0.017	-7.7e-05
0.013	-0.13	-0.0043	-0.068	-0.33	0.0034	-0.067	0.22	0.0026	0.62	0.016	-6.6e-05
0.007	-0.16	-0.004	-0.087	-0.32	0.0015	-0.066	0.2	0.0022	0.62	0.014	-6.1e-05
-0.00015	-0.19	-0.004	-0.1	-0.24	-0.00038	-0.065	0.19	0.0018	0.62	0.012	-6.2e-05
-0.0084	-0.21	-0.0041	-0.15	-0.23	-0.0016	-0.066	0.17	0.0014	0.62	0.0093	-6.6e-05
-0.021	-0.23	-0.0043	-0.037	-0.068	-0.0023	-0.067	0.14	0.001	0.61	0.0059	-6.8e-05
-0.023	-0.23	-0.0045	0.052	0.051	-0.0019	-0.069	0.12	0.00056	0.6	0.0022	-6.6e-05
-0.016	-0.22	-0.0046	0.097	0.087	-0.00087	-0.071	0.097	0.0001	0.6	-0.0012	-5.5e-05
-0.0055	-0.21	-0.0047	0.051	0.044	0.00019	-0.073	0.076	-0.00036	0.59	-0.0038	-3.7e-05
0.00033	-0.2	-0.0046	0.045	0.1	0.001	-0.073	0.055	-0.00083	0.59	-0.0057	-1.7e-05
0.0053	-0.19	-0.0045	-0.041	0.13	0.0018	-0.073	0.036	-0.0013	0.58	-0.0072	-7.3e-07
0.0021	-0.16	-0.0042	-0.046	0.31	0.0031	-0.072	0.018	-0.0017	0.58	-0.0086	1e-05
-0.0016	-0.13	-0.0039	0.026	0.3	0.0042	-0.072	0.0037	-0.0021	0.58	-0.01	1.8e-05
0.0016	-0.099	-0.0034	-0.062	0.38	0.0052	-0.072	-0.0076	-0.0025	0.58	-0.012	2.2e-05
-0.0036	-0.065	-0.0028	-0.096	0.25	0.006	-0.072	-0.016	-0.0028	0.58	-0.013	2.4e-05
-0.012	-0.043	-0.0022	-0.015	0.095	0.0065	-0.073	-0.021	-0.003	0.58	-0.015	2.6e-05
-0.012	-0.036	-0.0015	0.1	0.021	0.0063	-0.074	-0.025	-0.0032	0.59	-0.017	2.6e-05
-0.0017	-0.037	-0.00094	0.13	0.017	0.0057	-0.075	-0.029	-0.0034	0.59	-0.019	2.1e-05
0.011	-0.036	-0.00042	0.16	-0.042	0.0047	-0.074	-0.032	-0.0034	0.59	-0.02	1.4e-05
0.027	-0.041	-1.2e-05	0.18	-0.019	0.0034	-0.073	-0.036	-0.0034	0.59	-0.021	7.5e-06
0.044	-0.043	0.00027	0.14	-0.019	0.0023	-0.069	-0.04	-0.0034	0.59	-0.02	4.2e-06
0.057	-0.044	0.00045	0.045	-0.00039	0.0013	-0.064	-0.045	-0.0034	0.59	-0.018	3.7e-06
0.06	-0.043	0.00055	-0.032	-0.013	0.00063	-0.058	-0.049	-0.0033	0.59	-0.016	4.3e-06
0.056	-0.043	0.00058	-0.029	-0.05	0.00012	-0.052	-0.054	-0.0033	0.59	-0.014	4.1e-06
0.052	-0.046	0.00057	-0.0044	-0.081	-0.00036	-0.047	-0.058	-0.0032	0.58	-0.012	2.3e-06
0.051	-0.052	0.00051	0.023	0.031	-0.00077	-0.042	-0.063	-0.0032	0.58	-0.011	-2.2e-07
0.053	-0.047	0.00043	-0.057	0.12	-0.0007	-0.036	-0.068	-0.0031	0.58	-0.0098	-2.8e-06
0.047	-0.033	0.00038	0.017	0.18	-0.00028	-0.031	-0.072	-0.0031	0.58	-0.0088	-5.4e-06
0.048	-0.015	0.00038	0.084	0.17	0.0003	-0.027	-0.075	-0.0031	0.57	-0.008	-8.2e-06
0.056	0.0015	0.00044	0.12	0.16	0.00085	-0.021	-0.075	-0.003	0.57	-0.0068	-1.1e-05
0.066	0.016	0.00055	0.09	0.15	0.0013	-0.015	-0.074	-0.003	0.57	-0.0051	-1.3e-05
0.073	0.029	0.0007	0.012	0.24	0.0017	-0.0084	-0.072	-0.0029	0.57	-0.0027	-1.5e-05
0.073	0.0012	0.00082	-0.16	-0.34	0.00059	-0.001	-0.07	-0.0028	0.58	-0.00015	-1.5e-05
0.057	-0.03	0.00081	-0.36	-0.27	-0.00069	0.0055	-0.072	-0.0027	0.57	0.0018	-1.1e-05
